class,Question,a,b,c,d,Answer
PlayerHealthManager.cs,What happens when the _healthAmount is equal to _maxHealth in PlayerHealthManager.cs?,Regeneration timer is reset,Health UI is updated,Player gets hit,Player healing is stopped,d
PlayerHealthManager.cs,What does PlayerGotHit() method do in PlayerHealthManager.cs?,Resets regeneration timer,Increases health,Decreases health and checks if player is dead,Invokes the PlayerBehaviourEventHub.OnPlayerGotHit,c
PlayerHealthManager.cs,What is the purpose of the OnEnable() and OnDisable() methods in PlayerHealthManager.cs?,To handle player movement,To manage UI elements,To subscribe and unsubscribe to events,To store references to key player components,c
PlayerKnockBack.cs,What is the purpose of the PlayerKnockBack class?,To control player movement,To manage player combat actions,To handle knock back behavior of the player,To storee references to key player components,c
PlayerKnockBack.cs,How is the knockback effect applied to the player?,Through the character controller,By directly modifying the player's transform,Using a rigidbody component,Via animation,a
PlayerKnockBack.cs,What happens when the impact variable reaches zero?,The knock back effect stops,The player's speed is increased,The player is teleported to a random location,The player's health is regenerated,a
PlayerManager.cs,What is the purpose of the PlayerManager class in the script?,To manage the player's HUD display,To provide localized text for the game,To manage some player behavior functionality and act as a hub for other player behavior components,To manage the AI and enemy behavior in the game,c
PlayerManager.cs,What function is called when the player dies and what does it do?,"FlyToHelicopter(), teleports the player to a helicopter","Dead(), delegates to FirstPersonController and PlayerKnockBack","SetInstantPositionRotation(), sets the player's position and rotation","ForceTeleport(), instantly teleports the player to a destination",b
PlayerManager.cs,What is the purpose of the FarthestPlaceFromPlayer() method and what does it do?,Returns the farthest place from the player given a list of positions,Returns the closest place to the player given a list of positions,Returns a random place from a list of positions,Returns the player's current position,a
PlayerGunItem.cs,What is the main role of the PlayerGunItem.cs class?,To deal damage to enemies,To equip the player items and manage their animations,To handle player movement,To control player's health,b
PlayerGunItem.cs,What is the purpose of 'BringHandUpIfNeeded' method?,To lower the player's hand,To bring up the player's hand when equipping an item,To control the player's shooting,To equip the player's items,b
PlayerGunItem.cs,What method is responsible for handling the main functionality of an equipped item when the player presses the left mouse button?,Init(),LeftClicked(),PutHandAway(),NotActiveAnymore(),b
PlayerGunItemManager.cs,What is the role of PlayerGunItemManager on the player?,Manage player credits,Handle player health and healing,Control player combat abilities,Regulate player movement and animations,c
PlayerGunItemManager.cs,How does the PlayerGunItemManager manage player items?,It assigns values to item attributes,It stores references to item prefabs,It monitors item availability,It handles item placement in the scene,c
PlayerGunItemManager.cs,How does the PlayerGunItemManager initialize player items?,By overriding their default settings,By resetting their usage statistics,By adjusting their visual appearance,By activating their core functionality,d
PlayerFlashLightManager.cs,What happens in PlayerFlashLightManager.cs when the _capacity reaches 0?,The flash light stops flashing,The battery is set to full,The flash light's intensity is increased,The flash light starts flashing,a
PlayerFlashLightManager.cs,"In PlayerFlashLightManager.cs when the player activates the item, which method is called?",DeactiveItem(),StartFlashing(),NoMoreFlashing(),Charging(),b
PlayerFlashLightManager.cs,What does PlayerFlashLightManager.cs do when the right click is pressed?,Stops the flash light.,Starts the flash light.,Resets the item.,Charges the battery.,a
LightGunBullet.cs,What is the injected light used for?,To inject light into enemies,To light up dark areas,To grow the bullet,To attract other light gun bullets,b
LightGunBullet.cs,What is the purpose of the HitNonInjectable() method?,Destroy the bullet,Grow the bullet into a ball,Inject the light to the LightGunLight component,Set the bullet's velocity to zero,b
LightGunLight.cs,What does the InjectLight() method do in LightGunLight.cs?,Turns on the light by injecting it with a specified color.,Turns off the light by sucking out its light.,Returns the current light type and an indicator of whether the light is on or off.,Turns off the additional light (if there is any) when the power is out.,a
LightGunLight.cs,How does LightGunLight.cs manage complex lights?,It turns the complex lights off when the power is out and on when the power is back.,It stores the additional light as a child of the LightGunLight object.,It sets the color of the additional light to match the emissive color of the light material.,All of the above.,d
LightGunLight.cs,What happens when the LightGunLight.cs object is disabled?,The additional light is turned off.,The onChanged UnityEvent is invoked.,The light material is changed to the Off material.,The light type is set to LightColor.Off.,a
LightGunVisuals.cs,What is the purpose of the PlayerLightGunManager.cs class in LightGunVisuals?,To control player movement,To manage some player behavior functionality,To handle player combat actions,To store references to key player components,b
LightGunVisuals.cs,What does the GunJustGotFilled() method do in PlayerLightGunManager.cs?,Finds the farthest destination from the player,Teleports the player,Returns a random destination,Sets the player position,c
LightGunVisuals.cs,What does the OnPullOut() method do in PlayerLightGunManager.cs?,Shows the focus indicator,Hides the focus indicator,Changes the focus indicator color,Changes the focus indicator size,a
PlayerLightGunManager.cs,What does the PlayerLightGunManager.LeftClicked() method do?,Shoots a light bullet,Empties the gun,Refills the gun,Plays a sound,a
PlayerLightGunManager.cs,What does the PlayerLightGunManager.FocusingOnALight() method do?,Updates the visuals,Plays a sound,Shoots a bullet,Starts the animation,a
PlayerLightGunManager.cs,What does the PlayerLightGunManager.FillTheGun() method do?,Shoots a light bullet,Plays a sound,Refills the gun,Starts the animation,c
PlayerTeleportManager,What happens when the player presses the left mouse button while holding the Teleporter item?,It teleports the player to the current position,It plants a new teleport seed,It teleports the player to the current position if there is no teleport seed,It does nothing,c
PlayerTeleportManager,What does the TeleportPlanter do?,It manages the visuals of the teleport seed,It instantiates the teleport seed object in the scene,It teleports the player to the teleport seed,It destroys the teleport seed,b
PlayerTeleportManager,When does the player teleport?,When the player presses the left mouse button,When the player presses the right mouse button,When the teleport seed is destroyed,When the player is hit by an enemy,a
TeleporterVisuals,"In TeleporterVisuals, what is the purpose of the OnTeleported() method?",To play the teleport sound and shake the camera.,To set the animation trigger and parameter for the teleport animation.,To plant a new seed.,To destroy the teleport seed.,b
TeleporterVisuals,"In TeleporterVisuals, which method is responsible for setting the HasSeed parameter in the animator?",OnTeleported(),OnNewSeedPlanted(),PulledOutTeleporterWithAlreadyPlantedSeed(),OnSeedDestroyed(),b
TeleporterVisuals,"In TeleporterVisuals, what does the PulledOutTeleporterWithAlreadyPlantedSeed() method do?",Plays the teleport sound and shakes the camera.,Sets the HasSeed parameter in the animator to true.,Destroys the teleport seed.,Plays the plant sound and shakes the camera.,b
TeleportPlanter,What is the primary responsibility of the TeleportPlanter class in Unity?,Managing teleportation points,Handling character movement,Controlling player attacks,Calculating camera angles,a
TeleportPlanter,"In TeleportPlanter.cs, what happens when the PlantNewSeed method is called?",A new seed is generated and placed.,The player's position is updated.,The last seed is destroyed.,The game progresses to the next level.,a
TeleportPlanter,What is the purpose of the SeedDestroyedByCollision method in the TeleportPlanter class?,To create a new seed object.,To destroy the last planted seed.,To handle the player's movement.,To manage the teleportation process.,b
TeleportSeed.cs,What is the purpose of the TeleportSeed class?,To control the player's movement,To manage the teleport seed's behavior,To handle player combat actions,To store references to key player components,b
TeleportSeed.cs,What does the TeleportSeed class do when it is created?,Create a new seed,Destroy the seed,Initialize the seed,Teleport the player,c
TeleportSeed.cs,What does the OnTriggerEnter method do in TeleportSeed.cs?,It destroys the seed when something enters its trigger zone,It teleports the player,It returns a random destination,It sets the player position,a
AnimatedInteractable.cs,What does the OnObjectWentOutOfFocus() method do in AnimatedInteractable.cs?,Plays the animation.,Checks if the object is one time animated.,Invokes the onInteractAction.,Disables the collider.,a
AnimatedInteractable.cs,What does AnimatedInteractable.cs do when the player interacts with the object?,Plays the animation and invokes the onInteractAction,Disables the collider,Sets the object position,Teleports the player,a
AnimatedInteractable.cs,What happens if the AnimatedInteractable is one time animated?,The animation is played once then the object is disabled,The animation is played twice,The object is disabled,The animation is played in reverse,a
CollectableInteractable.cs,What is the main purpose of the CollectableInteractable script?,To control player movement,To manage player behavior functionality,To handle player combat actions,To add functionality of collecting the object when the player interacts with it,d
CollectableInteractable.cs,What happens when the player stops focusing on the CollectableInteractable object?,The object is destroyed,The object's collider is disabled,The object is scaled down,Nothing happens,d
CollectableInteractable.cs,What happens when the player interacts with the CollectableInteractable object?,The object is scaled down,The object is destroyed,The object's collider is disabled,The object's position is changed,b
InteractableObject.cs,What is the responsibility of InteractableObject.cs?,Handling player movement,Managing player combat actions,Controlling interactable objects,Storing references to key player components,c
InteractableObject.cs,What happens when the ObjectWentInFocus() method is called?,The hint is shown in the UI,The player teleports,The player's position is set,The player's combat actions are managed,a
InteractableObject.cs,What is the purpose of the OnObjectWentOutOfFocus() method?,To hide the hint from the UI,To handle player movement,To set the player's position,To manage player combat actions,a
PlayerInteractableObjectsManager.cs,What does the PlayerInteractableObjectsManager script do?,Manages player movement,Controls player combat actions,Detects whether the player is focusing on an interactable object or not,Handles player inventory,c
PlayerInteractableObjectsManager.cs,What happens when the player is focusing on an interactable object?,The player can interact with the object,The object's ObjectWentInFocus method is called,The object's Interact method is called,Both b and c,d
PlayerInteractableObjectsManager.cs,What is the purpose of the distance variable in the PlayerInteractableObjectsManager script?,To determine how far the player can interact with objects,To determine how close the player must be to an object to focus on it,To determine how far the player can move,To determine how close the player must be to an object to interact with it,b
PowerSwitch.cs,What is the purpose of the PowerSwitch class?,To animate player movements,To manage player interacted power switches in the game,To control player interaction with elevators,To handle player combat actions,b
PowerSwitch.cs,What action does the LightsBackOn() method take?,Disable switch visual indicator,Animate switch to 'Turn On' animation,Disable the collider of the switch,Diseables switch interactor object,c
PowerSwitch.cs,What does the OnSwitchFlipped() method do when called?,Activates the color green on the switch's light indicator,Calls the PowerSwitchActivated() method,Animates the switch to the 'Turn Off' animation,Enables the switch's collider component,b
SimpleDoor.cs,What is the purpose of the IsLocked field in SimpleDoor.cs?,Determines if the door is currently locked.,Used for debugging the lock state of the door.,Locks the door for the rest of the game.,Controls the door's animation speed.,a
SimpleDoor.cs,What does the ForceOpen method do in SimpleDoor.cs?,"Forcibly opens the door, regardless of its current state.",Forces the player to interact with the door.,"Forcibly closes the door, regardless of its current state.",Forces the door to play its locked animation.,a
SimpleDoor.cs,What is the purpose of the private void Start() method in SimpleDoor.cs?,Sets the door's initial state.,Initializes the door's animation.,Sets up the door's audio.,All of the above.,d
GrabbableObjects.cs,What does the GrabbableObjects class inherit and why?,"InteractableObject.cs, to add grabbing, holding + unGrabbing the object when the player interacts with it","CharacterController.cs, to control the movement of the held object","UnityEvent.cs, to invoke an event when the player grabs the object.","Rigidbody.cs, to control the object's velocity and angular velocity",a
GrabbableObjects.cs,What is the purpose of the `Update()` method in this script?,To lerp the object to the target position,To check if the player is still holding the object,To update the object's velocity,To update the object's position based on the player's movement,a
GrabbableObjects.cs,How does the GrabbableObjects class handle the grabbing and unGrabbing of objects?,By using the `Input.GetButtonDown()` method to check for player input,By setting the object's parent to the player's hand transform when grabbed and null when unGrabbed,By using physics calculations to simulate the movement of the object,By using the `Grab()` and `UnGrab()` methods to control the object's state,d
PlayerHoldObjectsManager.cs,"In PlayerHoldObjectsManager.cs, what is the purpose of the 'OnGrabbableObjectInteracted' event?",To check if a grabbable object is being grabbed,To trigger the appropriate Grab or UnGrab method,To update the target position for small and big objects,To subscribe to events related to player interactions,b
PlayerHoldObjectsManager.cs,What happens when the player interacts with a grabbable object and how does PlayerHoldObjectsManager.cs handle it?,It ignores the interaction and does nothing,It calls the Grab or UnGrab method of the GrabbableObjects.cs script,It updates the player's position based on the object's size,It checks if the player has the necessary resources to grab the object,b
PlayerHoldObjectsManager.cs,"When the PlayerHoldObjectsManager.cs script is disabled, what happens to the subscribed events?",They are automatically unsubscribed,They continue to be subscribed and receive events,They are temporarily paused until the script is enabled again,They are only unsubscribed if the player is not carrying an object,a
PowerCoreObject.cs,What is the purpose of the PowerCoreObject class?,To add health points to the player,To manage the insertion and ejection of the power core,To collect coins in the scene,To control the game camera,b
PowerCoreObject.cs,What happens when the OnEnteredPowerStation() method is called?,The power core is ejected from the station,The power core is fully inserted into the station,The player grabs the power core,The power core is destroyed,b
PowerCoreObject.cs,What is the coreInstallTarget field used for?,To specify the target position for the power core to be installed,To specify the target rotation for the power core to be installed,To specify the target position for the power core to be ejected,To specify the target rotation for the power core to be ejected,a
PowerCoreStation.cs,What is the purpose of the PowerCoreStation class?,To control player movement,To manage some player behavior functionality,To handle player combat actions,To implement the logic of a power station in the game,d
PowerCoreStation.cs,What happens when the power core enters the station's trigger zone?,The station plays a sound.,The station fully inserts the power core.,The player can interact with the station.,The station disables its collider.,b
PowerCoreStation.cs,When is the Interact() method of the PowerCoreStation class called?,When the player focuses on the object.,When the player presses the interact button.,When the power core enters the station's trigger zone.,When the player goes out of focus of the object.,b
LightMaterialDatabaseSO.cs,What does LightMaterialDatabaseSO.cs do?,Creates a database of light materials,Contains a list of all light materials,Provides methods to get light material by LightColor enum and vice versa,All of the above,d
LightMaterialDatabaseSO.cs,What are the two scriptable objects of this type in the project?,LightGun lights and Simple lights,LightGun lights and Off lights,Simple lights and Off lights,None of the above,a
LightMaterialDatabaseSO.cs,What does the GetAllLightGunLightsExceptOff() method return?,All light materials except Off,All light materials except Red,All light materials except Blue,All light materials except Green,a
Constants.cs,What layer does the FocusedHighlightedLayer constant in the Constants class refer to?,Layer 5,Layer 8,Layer 3,Layer 10,a
Constants.cs,What value is assigned to the LightGunLightEmissionAmount constant in the Constants class?,20,60,10,40,d
Constants.cs,What is the name of the key used to store the time taken to complete a level in PlayerPrefs?,LevelTime(int level),LevelCompletionTime(int level),LevelDuration(int level),TimeUntilLevelCompletion(int level),a
FootstepManager.cs,What is the purpose of the FootstepManager class?,To control player movement,To play footstep sounds based on player speed,To handle player combat actions,To store references to key player components,b
FootstepManager.cs,What variable is used for the footstep timer?,speed,crouchAudioDelay,walkAudioDelay,_footstepTime,d
FootstepManager.cs,The footstep timer is updated when?,When the player is grounded,When the player is moving,When the player is running,When the player is crouching,b
GameManager.cs,What is the main responsibility of the GameManager class?,To handle player-related behaviors,To manage scene transitions,To hold references to reusable data for other systems,To control the game's overall state,c
GameManager.cs,What are LightMaterialDatabaseSO and SimpleLightMaterials in the GameManager class?,Serialized fields used for static methods,Custom editor scripts to configure materials, Scriptable objects containing materials for specific purposes,MonoBehaviour scripts handling material assignments,c
GameManager.cs,What happens when the game is closed in the GameManager class?,All materials are reset to their default settings,The game's state is saved and persistent data is cleared,The Unity Editor is exited and the game is terminated,LightGun lights materials are reset to their default emission intensity,d
GameStarter.cs,What does the GameStarter class do?,Manages player movement,Sets up the main menu and listens for game start UI events,Handles player combat actions,Stores data of all levels,b
GameStarter.cs,When is the StartGame method called?,When the player enters a new level,When the player dies,When the player presses the start game button in the main menu,When the player reaches a checkpoint,c
GameStarter.cs,What happens when the SetMenuCameraPositionAndRotation method is called?,The main menu camera is activated,The player's position is set to the main menu camera's position,The game is paused,The main menu camera's position and rotation are updated,d
GlobalInGameData.cs,What is the purpose of the GlobalInGameData class?,Controls player movement,Stores global data used throughout the game,Manages scene transitions,Handles inventory management,b
GlobalInGameData.cs,What does the CurrentLevel field represent in GlobalInGameData.cs?,The player's current health,The number of levels completed,The current level the player is in,The highest level reached,c
GlobalInGameData.cs,What is the purpose of the PlayerHasControl field in GlobalInGameData.cs?,Determines if the player can move,Toggles player invincibility,Controls player animations,Manages player interactions with objects,a
MusicSoundManager,What does the PlaySound() method in MusicSoundManager do?,Plays an AudioClip,Stops an AudioClip,Pauses an AudioClip,Fades an AudioClip,a
MusicSoundManager,What is the purpose of the PlaySoundWithDelay() method in MusicSoundManager?,Plays an AudioClip with a delay,Plays an AudioClip in a loop,Plays an AudioClip at a random pitch,Plays an AudioClip at a random volume,a
MusicSoundManager,Which method is used to play ambient sound in MusicSoundManager?,PlaySound(),PlayMusic(),PlayAmbient(),PlayFootstep(),c
PreLoader.cs,What is the purpose of the PreLoader class?,To specify the resolution for the game,To load specific assets before any scene is loaded,To disable the loading of certain scenes,To create an instance of the Systems object,d
PreLoader.cs,How is the Systems object instantiated?,By calling the DontDestroyOnLoad() method,By using the Resources.Load() method,By setting the RuntimeInitializeLoadType attribute,By calling the Instantiate() method,d
PreLoader.cs,What happens after the Systems object is instantiated?,The game resolution is set,The DontDestroyOnLoad() method is called,The Resources.Load() method is used,The RuntimeInitializeLoadType attribute is set,a
SingletonMonoBehaviour.cs,What does the SingletonMonoBehaviour.cs class provide?,A custom implementation of the singleton pattern,A way to manage multiple instances of the same class,A way to store and access global variables,A way to create abstract classes,a
SingletonMonoBehaviour.cs,How is the Singleton instance set in SingletonMonoBehaviour.cs?,Through the Awake method,Through the Start method,Through the Update method,Through the FixedUpdate method,a
SingletonMonoBehaviour.cs,What happens if there is already an instance of a Singleton class when trying to create another one?,The new instance is destroyed,The old instance is destroyed,Both instances are destroyed,An error is logged in the console,d
Utils.cs,What does the Normalize method do in Utils.cs?,Inverts the color components,Converts a color to grayscale,Adjusts a color to make its brightest component equal to 1,Scales a color by a random factor,c
FlashLightUiManager.cs,In FlashLightUiManager.cs what is the purpose of the FlashLightUiManager class?,To control player movement,To manage the flash light UI,To handle player combat actions,To store references to key player components,b
FlashLightUiManager.cs,What does the Update() method do in FlashLightUiManager.cs?,Updates the UI according to the battery level,Teleports the player,Returns a random destination,Sets the player position,a
FlashLightUiManager.cs,Which component is updated to show the battery level?,Text,Slider,Image,Button,c
FullScreenEffectsManager.cs,What are the types of the fullscreen effects managed by FullScreenEffectsManager?,Low on health and teleport,Low on health and slow motion,Teleport and slow motion,Low on health and poisoning,a
FullScreenEffectsManager.cs,What does FullScreenEffectsManager.cs do when HealthLowHealthEffect() is called?,Hides the low-health effect,Animates intensity of the low-health effect,Resets the low-health effect,Shows the teleport effect,b
FullScreenEffectsManager.cs,"In FullScreenEffectsManager.cs, what is the name of the method called when a player teleports?",Teleportation(),Teleport(),PlayerTeleport(),TeleportPlayer(),b
GamePlayCanvasManager.cs,What is the role of GamePlayCanvasManager in the script?,To manage the activation and deactivation of gameplay canvas elements,To handle player movement,To store references to key player components,To control the player's combat actions,a
GamePlayCanvasManager.cs,What method is used to deactivate the gameplay UI in GamePlayCanvasManager?,EnableGameplayUi,DisableGameplayUi,SetGameplayUiActive,ToggleGameplayUi,b
GamePlayCanvasManager.cs,What is the purpose of the SingletonMonoBehaviour<GamePlayCanvasManager> base class?,To ensure there is only one instance of GamePlayCanvasManager active at a time,To facilitate communication between different GamePlayCanvasManager instances,To provide a shared interface for accessing GamePlayCanvasManager functionality,To allow GamePlayCanvasManager to interact with other components in the scene,a
UIBeastManager.cs,What does the UIBeastManager class do in Unity?,It controls lighting,It manages UI elements for the player's beast,It handles player combat,It manages the camera view,b
UIBeastManager.cs,What is the purpose of the OnEnable() method in UIBeastManager.cs?,To subscribe to events,To start the game,To load the next level,To stop the game,a
UIBeastManager.cs,What is the OnDisable() method in UIBeastManager.cs used for?,To restart the game,To unsubscribe from events,To save the game,To pause the game,b
UICurrentObjectivesManager.cs,What does the UICurrentObjectivesManager class manage on the UI?,Player movement,Enemy behaviour,Story progression,Current objectives messages,d
UICurrentObjectivesManager.cs,What is the responsibility of the CurrentObjectiveUpdate function in UICurrentObjectivesManager.cs?,Updating the current objective UI element,Hiding the UI element,Starting the game,Unsubscribing from events,a
UICurrentObjectivesManager.cs,Which event does the UICurrentObjectivesManager subscribe to in order to update the current objective UI?,UiEventHub.OnGameStart,UiEventHub.OnEnemyKilled,UiEventHub.OnPlayerDeath,UiEventHub.OnCurrentObjectiveUpdate,d
UiHintManager.cs,What does UiHintManager do?,Displays hints to the player.,Manages player inventory.,Controls player movement.,Calculates the player's score.,a
UiHintManager.cs,What happens when OnMainHint is called?,The main hint text is updated.,The player's score is increased.,The game is paused.,The player's health is restored.,a
UiHintManager.cs,What is the purpose of the mainHintText field?,To store the player's name.,To store the current level.,To display hints to the player.,To store the game's high score.,c
